"filename", "language", "C", "Makefile", "Markdown", "C++", "comment", "blank", "total"
"/home/ehosta/Documents/42-minishell/CONTRIBUTING.md", "Markdown", 0, 0, -67, 0, 0, -28, -95
"/home/ehosta/Documents/42-minishell/Makefile", "Makefile", 0, -93, 0, 0, -18, -41, -152
"/home/ehosta/Documents/42-minishell/README.md", "Markdown", 0, 0, -14, 0, 0, -6, -20
"/home/ehosta/Documents/42-minishell/include/minishell.h", "C", -261, 0, 0, 0, -157, -43, -461
"/home/ehosta/Documents/42-minishell/lib/Makefile", "Makefile", 0, -38, 0, 0, -11, -11, -60
"/home/ehosta/Documents/42-minishell/lib/README.md", "Markdown", 0, 0, -4, 0, 0, -2, -6
"/home/ehosta/Documents/42-minishell/lib/include/ft_array.h", "C++", 0, 0, 0, -37, -11, -6, -54
"/home/ehosta/Documents/42-minishell/lib/include/ft_base.h", "C++", 0, 0, 0, -33, -11, -6, -50
"/home/ehosta/Documents/42-minishell/lib/include/ft_fd.h", "C++", 0, 0, 0, -11, -61, -10, -82
"/home/ehosta/Documents/42-minishell/lib/include/ft_free.h", "C++", 0, 0, 0, -7, -11, -4, -22
"/home/ehosta/Documents/42-minishell/lib/include/ft_is.h", "C++", 0, 0, 0, -12, -38, -12, -62
"/home/ehosta/Documents/42-minishell/lib/include/ft_lst.h", "C++", 0, 0, 0, -19, -11, -6, -36
"/home/ehosta/Documents/42-minishell/lib/include/ft_math.h", "C++", 0, 0, 0, -6, -11, -3, -20
"/home/ehosta/Documents/42-minishell/lib/include/ft_mem.h", "C", -12, 0, 0, 0, -15, -5, -32
"/home/ehosta/Documents/42-minishell/lib/include/ft_misc.h", "C++", 0, 0, 0, -4, -11, -3, -18
"/home/ehosta/Documents/42-minishell/lib/include/ft_printf.h", "C++", 0, 0, 0, -10, -11, -6, -27
"/home/ehosta/Documents/42-minishell/lib/include/ft_str.h", "C++", 0, 0, 0, -21, -11, -5, -37
"/home/ehosta/Documents/42-minishell/lib/include/ft_to.h", "C++", 0, 0, 0, -11, -11, -5, -27
"/home/ehosta/Documents/42-minishell/lib/include/get_next_line.h", "C++", 0, 0, 0, -12, -19, -5, -36
"/home/ehosta/Documents/42-minishell/lib/include/libft.h", "C", -16, 0, 0, 0, -11, -4, -31
"/home/ehosta/Documents/42-minishell/lib/src/array/ft_array_clear.c", "C", -14, 0, 0, 0, -11, -3, -28
"/home/ehosta/Documents/42-minishell/lib/src/array/ft_array_cpy.c", "C", -49, 0, 0, 0, -11, -9, -69
"/home/ehosta/Documents/42-minishell/lib/src/array/ft_array_fill.c", "C", -21, 0, 0, 0, -11, -7, -39
"/home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getmax.c", "C", -16, 0, 0, 0, -11, -4, -31
"/home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getmin.c", "C", -16, 0, 0, 0, -11, -4, -31
"/home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getpos.c", "C", -14, 0, 0, 0, -11, -4, -29
